projeto_id;team_id;team_str;ae_bn_mean;rank_bn;AT_cont;AC_cont;dist_AT;dist_AC;dist_AE;pc_score;pc_label;dominio_tier;ecossistema_tier;linguagens_tier;dominio_score;ecossistema_score;linguagens_score;t_cpt_build_s;t_dim_s;t_pc_graph_s;t_pc_transform_s;t_infer_at_s;t_infer_ae_s;t_infer_total_s;t_team_total_s;t_project_total_s;t_project_total_plus_cpt_s;dominio_m_total;dominio_m_covered;dominio_m_covered_list;dominio_s_total;dominio_s_covered;dominio_s_covered_list;dominio_c_total;dominio_c_covered;dominio_c_covered_list;ecossistema_m_total;ecossistema_m_covered;ecossistema_m_covered_list;ecossistema_s_total;ecossistema_s_covered;ecossistema_s_covered_list;ecossistema_c_total;ecossistema_c_covered;ecossistema_c_covered_list;linguagens_m_total;linguagens_m_covered;linguagens_m_covered_list;linguagens_s_total;linguagens_s_covered;linguagens_s_covered_list;linguagens_c_total;linguagens_c_covered;linguagens_c_covered_list
P3;P3-TEAM0;"[Dev423;Dev558;Dev494;Dev391]";0.324266;1;0.350869;0.300174;0.000418,0.744821,0.254759,0.000002,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.024724,0.829363,0.145771,0.000142,0.000000;0.200000;L;L;VH;L;0.214286;0.952381;0.214286;4.218184;0.014426;0.000026;0.000054;0.014740;0.014732;0.029472;0.060293;0.309161;4.527344;2;1;cloud;1;1;web;1;0;;1;1;aws lambda;3;1;react;1;1;android;2;1;python;1;1;javascript;2;0;
P3;P3-TEAM1;"[Dev104;Dev446;Dev152;Dev465]";0.107289;2;0.104680;0.104680;0.976598,0.023402,0.000000,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.963566,0.036420,0.000013,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.019227;0.000046;0.000078;0.011781;0.012427;0.024207;0.080439;0.309161;4.527344;2;0;;1;1;web;1;0;;1;0;;3;1;react;1;1;android;2;0;;1;1;javascript;2;1;java
P3;P3-TEAM2;"[Dev362;Dev242;Dev450;Dev161]";0.107289;3;0.104680;0.104680;0.976598,0.023402,0.000000,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.963566,0.036420,0.000013,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.008244;0.000027;0.000054;0.015847;0.013303;0.029150;0.055143;0.309161;4.527344;2;0;;1;1;web;1;1;desktop;1;0;;3;1;react;1;0;;2;1;c++;1;1;javascript;2;0;
P3;P3-TEAM3;"[Dev362;Dev354;Dev495;Dev458]";0.107289;4;0.104680;0.104680;0.976598,0.023402,0.000000,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.963566,0.036420,0.000013,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.009257;0.000027;0.000055;0.019613;0.012915;0.032527;0.061233;0.309161;4.527344;2;0;;1;1;web;1;0;;1;0;;3;1;react;1;0;;2;0;;1;1;javascript;2;1;java
P3;P3-TEAM4;"[Dev439;Dev16;Dev209;Dev463]";0.107289;5;0.104680;0.104680;0.976598,0.023402,0.000000,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.963566,0.036420,0.000013,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.009811;0.000030;0.000055;0.013737;0.009945;0.023682;0.049120;0.309161;4.527344;2;0;;1;1;web;1;0;;1;0;;3;1;react;1;0;;2;0;;1;1;javascript;2;0;
P4;P4-TEAM0;"[Dev263;Dev241;Dev303;Dev548]";0.402275;2;0.699957;0.104680;0.000000,0.000000,0.022857,0.954499,0.022644;0.976598,0.023402,0.000000,0.000000,0.000000;0.000537,0.488860,0.509293,0.001310,0.000000;0.100000;VL;VH;VL;H;1.000000;0.000000;0.750000;4.218184;0.008521;0.000027;0.000054;0.014347;0.010645;0.024993;0.050210;0.264715;4.482899;1;1;web;1;0;;1;1;desktop;1;0;;2;0;;1;0;;1;1;javascript;2;0;;2;1;c#
P4;P4-TEAM1;"[Dev145;Dev38;Dev225;Dev263]";0.386945;3;0.473708;0.300174;0.000000,0.133387,0.864683,0.001929,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.004800,0.556222,0.438433,0.000546,0.000000;0.300000;L;M;VL;M;0.500000;0.000000;0.500000;4.218184;0.008808;0.000027;0.000055;0.013112;0.008611;0.021723;0.045305;0.264715;4.482899;1;1;web;1;0;;1;0;;1;0;;2;1;react;1;0;;1;1;javascript;2;0;;2;0;
P4;P4-TEAM2;"[Dev193;Dev194;Dev7;Dev154]";0.488159;1;0.489593;0.499980;0.000000,0.059379,0.933277,0.007344,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.000244,0.084536,0.889405,0.025810,0.000004;0.400000;M;VH;VL;L;0.857143;0.000000;0.375001;4.218184;0.010426;0.000028;0.000056;0.016305;0.012921;0.029227;0.056192;0.264715;4.482899;1;1;web;1;1;cloud;1;0;;1;0;;2;1;react;1;1;aws lambda;1;1;javascript;2;1;python;2;1;java
P4;P4-TEAM3;"[Dev438;Dev270;Dev104;Dev293]";0.324073;5;0.350491;0.300174;0.000427,0.746691,0.252880,0.000002,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.024791,0.830193,0.144875,0.000141,0.000000;0.300000;L;VH;VL;VL;0.857143;0.000000;0.000000;4.218184;0.007522;0.000029;0.000054;0.015690;0.017978;0.033668;0.056446;0.264715;4.482899;1;1;web;1;1;cloud;1;0;;1;0;;2;1;angular;1;1;aws lambda;1;0;;2;2;python,typescript;2;0;
P4;P4-TEAM4;"[Dev198;Dev415;Dev62;Dev559]";0.386945;4;0.473708;0.300174;0.000000,0.133387,0.864683,0.001929,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.004800,0.556222,0.438433,0.000546,0.000000;0.300000;L;M;VL;M;0.500000;0.000000;0.500000;4.218184;0.011995;0.000113;0.000068;0.013471;0.009667;0.023137;0.053936;0.264715;4.482899;1;1;web;1;0;;1;0;;1;1;mongodb;2;0;;1;0;;1;1;javascript;2;0;;2;0;
